,title,station,date,company,link,carrer,work,machul,juso,search_key
16,"프로그래밍 분야 모집(경력/신입) - 아두이노, 파이썬 코딩 기술",울산 울주군,채용시,(주)지이엠플랫폼,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40099979&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력무관,"교육기관,대학교,교육기획","8억 5,668만원",울산 남구,파이썬
17,"자바, 파이썬, JSP 개발 외(퍼블리싱 및 디자인 가능 우대)",서울 강남구, 06/30(수),(주)비씨티원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40313655&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력무관,"소프트웨어개발,Java·JSP,XML",매출액없음,서울 강남구,파이썬
18,백엔드 개발(파이썬/자바) PM가능 경력자 모집,경남 창원시, 07/15(목),나우온,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40473721&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력,"시스템관리,솔루션업체,소프트웨어개발",매출액없음,경남 창원시 의창구,파이썬
19,웹 (자바 파이썬) 프로그램머 채용 (병역특례 가능),서울 금천구, 07/24(토),㈜에스에프테크놀로지,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40314827&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력 3~10년,"솔루션업체,소프트웨어개발,Java·JSP","16억 2,668만원",서울 금천구,파이썬
20,파이썬 개발 (정규직/계약직),서울 강남구, 07/22(목),데이터플로,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40300922&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력무관,"소프트웨어개발,시스템엔지니어(SE),SW(소프트웨어)","2억 5,407만원",서울 강남구,파이썬
21,[개발자 채용] 파이썬(Python) Django 백엔드 개발자 모집,서울 영등포구, 07/20(화),파츠고(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40295778&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력,"전자상거래,쇼핑몰,B2B",12억 2만원,서울 영등포구,파이썬
22,[AI 선박 자율주행] 서울 파이썬/nodeJS개발자 대리과장급,서울 강남구,오늘마감,(주)탑앤스카우트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40366101&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력3년,"서치펌,Python,백엔드",매출액없음,서울 강남구,파이썬
23,2021년 하반기 파이썬python 코딩 강사 모십니다,경기 고양시 일산동구, 08/09(월),한국기독글로벌스쿨,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40445995&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력무관,"교육기관,대학교,초등학교",매출액없음,경기 고양시 일산동구,파이썬
24,"S/W 프로그램 개발자 모집(C#, .NET, SQL, 파이썬)",경남 창원시, 06/25(금),이엠솔루션,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40330058&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,신입·경력,"SI·시스템통합,솔루션업체,소프트웨어개발","12억 9,984만원",경남 창원시 의창구,파이썬
25,"C 언어, JAVA, PYTHON(파이썬) 능숙하게 강의해주실 선생님",경기 수원시 영통구, 07/10(토),영통아이티 컴퓨터학원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40221984&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력,"IT학원,프로그래밍,IT강의",매출액없음,경기 수원시 영통구,파이썬
26,모블디 파이썬 장고 웹 개발자 채용,서울 강남구, 07/02(금),(주)모블디,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40157856&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력무관,"소프트웨어개발,Python,프론트엔드",매출액없음,서울 강남구,파이썬
27,"IT강사님 모집합니다. ( JAVA, 빅데이터, 파이썬 외)",서울 금천구,채용시,디지털원(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40282723&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력,"직업전문학교,Java·JSP,Ajax","15억 5,014만원",서울 금천구,파이썬
28,"IT강사님 모집합니다. ( JAVA, 빅데이터, 파이썬 외)",서울 금천구,채용시,(주)한국소프트웨어아이엔씨,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40282046&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력,"직업전문학교,Java·JSP,Ajax","31억 6,169만원",서울 금천구,파이썬
29,Python 개발자,서울 송파구, 06/30(수),(주)이글루시큐리티,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40417930&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력 1~10년,"Python,Python,머신러닝",매출액없음,서울 송파구,파이썬
30,Python 개발자,서울 구로구,상시채용,(주)인라이플,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=39933289&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력 1~15년,"소프트웨어개발,시스템운영,프론트엔드",매출액없음,서울 구로구,파이썬
31,"[지쿠터] 백엔드 개발자 (Node, GoLang, Python, PHP)",서울 종로구,상시채용,(주)지바이크,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40429533&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력 1~10년,"Java·JSP,Python,프론트엔드","112억 2,838만원",서울 종로구,파이썬
32,Back-end Engineer (Python),서울 강남구,상시채용,(주)브레이브모바일,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40425928&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력 3~8년,"서버관리,서버구축,AWS",매출액없음,서울 강남구,파이썬
33,[Wavebridge] Back End Developer (Python),서울 영등포구,상시채용,(주)웨이브릿지,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40425768&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력 1~5년,"소프트웨어개발,서버관리,서버구축","12억 4,328만원",서울 영등포구,파이썬
34,"MD, 웹디자인, JAVA, PHP, Python, SEO, SA, 유튜브, DBA, 구매",서울 금천구, 06/30(수),(주)지이씨엘코리아,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40393914&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,신입·경력,"전자상거래,쇼핑몰,B2B",매출액없음,서울 금천구,파이썬
35,(주)더아이엠씨 상반기 수시 채용(빅데이터·AI/NLP/R/Python),대구 수성구, 06/20(일),㈜더아이엠씨,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40441918&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,신입·경력,"SI·시스템통합,DataMining,솔루션업체","23억 7,385만원",대구 수성구,파이썬
36,"응용프로그램개발(Windows, C/C++, C#, Python 外 2개 부문)채용",부산 금정구,상시채용,이큐시스템,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40478648&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력무관,"SI·시스템통합,ERP,SCM","2억 4,485만원",부산 금정구,파이썬
37,[경력직] Python/Java 정규직 모집,서울 강남구, 07/27(화),나무기술(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40344458&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력3년,"SI·시스템통합,솔루션업체,소프트웨어개발",매출액없음,서울 강남구,파이썬
38,Python 웹 개발자 채용,서울 금천구,채용시,(주)코리아센터,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40413595&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,신입·경력,"전자상거래,쇼핑몰,오픈마켓",매출액없음,서울 금천구,파이썬
39,[테스트웍스] 플랫폼 백엔드(Python) 개발자 경력직 모집,서울 송파구,상시채용,(주)테스트웍스,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40340152&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력 1~10년,"소프트웨어개발,Java·JSP,PHP",매출액없음,서울 송파구,파이썬
40,"2021년 상반기 Python, Java·JSP 경력무관 채용합니다",서울 송파구, 07/30(금),소명소프트(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40354469&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력무관,"SI·시스템통합,Java·JSP,Python","1억 7,358만원",경기 구리시,파이썬
41,부설연구소 초~중급 응용프로그램 개발 및 운영 (Python),광주 서구, 07/31(토),(주)미르이즈,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40372898&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,신입·경력,"SI·시스템통합,소프트웨어개발,인공지능(AI)","57억 8,602만원",서울 마포구,파이썬
42,[신입] Back-end(백엔드) Java/Python 엔지니어 채용,경기 성남시 분당구, 07/03(토),(주)빌드잇,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40170041&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력무관,"솔루션업체,소프트웨어개발,Java·JSP","9억 6,810만원",경기 성남시 분당구,파이썬
43,"인공지능, 통계 분야 연구원 모집(R 또는 python 개발자)",서울 양천구, 08/15(일),켐아이넷(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40492410&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력무관,"KMS,DBMS,시스템관리",매출액없음,서울 양천구,파이썬
44,DB / Python / R 개발자,부산 해운대구, 07/27(화),주식회사 단비,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40346381&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력무관,"솔루션업체,소프트웨어개발,Java·JSP",10억 210만원,부산 해운대구,파이썬
45,데이터 분석 시스템 개발자 채용 (Python),서울 영등포구, 06/23(수),(주)씽크풀,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40478976&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력3년,"컨텐츠제공,인터넷금융,인터넷뉴스·신문",매출액없음,서울 영등포구,파이썬
46,"머신러닝&인공지능(AI)&Python 外 정규직, 인턴 채용(경력무관)",서울 서초구, 07/31(토),(주)더블유에이아이,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40373864&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,신입·경력,"SI·시스템통합,CRM,DataMining","6,114만원",서울 강남구,파이썬
47,[신입] 데이터 사이언스/엔지니어링 (PYTHON),서울 서초구, 08/08(일),(주)이팝콘,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40433641&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,신입,"소프트웨어개발,Python,데이타마이닝","2억 2,280만원",서울 서초구,파이썬
48,"[청년디지털일자리]신입경력 AI딥러닝,OCR S/W개발(Java,Python)",서울 송파구, 08/14(토),코드원시스템,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40480742&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,신입·경력,"솔루션업체,소프트웨어개발,Java·JSP",매출액없음,서울 송파구,파이썬
49,2021 하반기 Python/빅데이터/DataAnalysis/R 외 경력&신입 모집,경기 성남시 분당구,채용시,(주)데이터드리븐,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40473173&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력무관,"소프트웨어개발,빅데이터,DataAnalysis",매출액없음,경기 성남시 분당구,파이썬
50,"빅데이타 분석 전문가 (Data Scientist, Python 사용경험 필)",서울 서초구, 08/14(토),인사이트코리아,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40481118&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,신입·경력,"컨설팅,조사분석,연구원","18억 1,539만원",서울 서초구,파이썬
51,비즈 솔루션 RPA PYTHON SAP VBA 개발자 모집합니다.,서울 강남구, 08/09(월),(주)제이씨메디컬,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40443870&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력무관,"ERP,솔루션업체,소프트웨어개발","1억 2,364만원",서울 강남구,파이썬
52,[성남시 분당구]웹개발(Python&백엔드&Java·JSP 외 1개 부문),경기 성남시 분당구, 07/25(일),로지시스템(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40328902&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,신입,"SI·시스템통합,솔루션업체,소프트웨어개발","130억 2,430만원",경기 용인시 기흥구,파이썬
53,"웹개발(Java·JSP, Python, HTML) 신입 및 경력 (2명)모집합니다",서울 금천구, 08/01(일),미래손,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40382629&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력무관,"소프트웨어개발,Java·JSP,HTML","12억 7,858만원",서울 금천구,파이썬
54,"[여의도] 엑셀 VBA 코딩, 파이선, Data 분석 프로그램 운영",서울 영등포구, 07/01(목),(주)뤼드코리아,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40489106&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,신입·경력,"금융기관,Python,SAP·ABAP","96억 8,029만원",서울 강남구,파이썬
55,"웹프로그래머(ruby, python, Java, php) 신입사원 모집",서울 금천구, 06/20(일),(주)티아로테크,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40465314&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,신입,"쇼핑몰,오픈마켓,Java·JSP","5억 8,014만원",서울 금천구,파이썬
56,"웹개발(Java·JSP, ASP, Python, PHP) 채용",서울 강남구, 06/30(수),(주)글로벌마켓포커스,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40490215&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력무관,"연구소,컨설팅,경제연구소",매출액없음,서울 강남구,파이썬
57,[경력] Python 개발자 채용 공고 ( flask ),서울 금천구, 06/26(토),㈜새롬정보시스템,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40116607&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력4년,"솔루션업체,소프트웨어개발,Python",매출액없음,서울 금천구,파이썬
58,"JAVA / Python 개발자를 모집합니다(HTML, CSS, Java, Python)",대구 남구, 07/20(화),㈜데이타뱅크시스템즈,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40291082&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력5년,"SI·시스템통합,ERP,DBMS","140억 8,004만원",대구 남구,파이썬
59,[경력] Back-end(백엔드) Java/Python 엔지니어 채용,경기 성남시 분당구, 07/03(토),(주)빌드잇,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40170120&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력2년,"솔루션업체,소프트웨어개발,Java·JSP","9억 6,810만원",경기 성남시 분당구,파이썬
60,빅데이터 플랫폼 개발자(Python) 채용,서울 서초구, 08/10(화),(주)미디어그룹사람과숲,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40451469&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력무관,"소프트웨어개발,인공지능(AI),빅데이터","57억 9,730만원",서울 서초구,파이썬
61,"[신입/경력] 개발자 채용(Java, Python)",경기 안양시 동안구, 08/13(금),(주)레드라임,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40472727&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력무관,"SI·시스템통합,솔루션업체,소프트웨어개발","22억 7,767만원",경기 안양시 동안구,파이썬
62,반도체제조빅데이터솔루션개발/유지보수-C#/Java/Python,경기 성남시 분당구, 06/24(목),(주)두플,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40314898&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,신입,"SI·시스템통합,DataMining,시스템관리","18억 6,998만원",경기 성남시 분당구,파이썬
63,2021 인공지능(AI) 서비스 Python /Java·JSP 개발자 정규직,서울 성동구, 08/06(금),스마트쿱(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40418793&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력 1~2년,"소프트웨어개발,Java·JSP,인공지능(AI)","69억 2,828만원",서울 성동구,파이썬
64,[Python] 활용 딥러닝 개발자 모집,서울 강남구, 06/29(화),(주)무지개반사,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40145786&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력1년,"소프트웨어개발,IOS앱개발,Android앱개발",매출액없음,서울 강남구,파이썬
65,"C++, Python 익숙한 개발자",경기 파주시, 07/15(목),이쎌(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40478991&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력 2~3년,"전자,Hardware,C·C++","35억 5,189만원",주소없음,파이썬
66,"빅데이터, Java, Python 정규직 모집(경력사원)",서울 중구, 08/14(토),(주)넥스인테크놀로지,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40480452&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력 5~10년,"SI·시스템통합,솔루션업체,소프트웨어개발","8억 2,726만원",서울 중구,파이썬
67,"C++, Python 개발자 채용",경기 파주시, 07/15(목),이쎌(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40478985&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력2년,"전자,Hardware,C·C++","35억 5,189만원",주소없음,파이썬
68,[빅데이터 플랫폼 API 개발]Python 중급 개발자,경기 화성시, 07/15(목),피엔씨서치,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40479039&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력 3~10년,"솔루션업체,Java·JSP,Python",매출액없음,서울 강서구,파이썬
69,인공지능 딥러닝 프로그램 개발 (C#/Python/C·C++) 모집,경기 성남시 분당구, 08/09(월),(주)에이아이웨어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40443162&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=default_popular&paid_fl=n,경력1년,"소프트웨어개발,C·C++,Python","1억 4,672만원",경기 성남시 분당구,파이썬
